Size,Time,Cycles,Price,Instructions,HeapSize,TotalHeapSize
1,2057266125,143691,1.9398285e-14,2165,164,1537040
4,2030773250,143841,1.9418535e-14,2024,172,2561292
7,2033617750,143850,1.941975e-14,2301,172,3585532
10,2041298625,145117,1.9590795e-14,2683,172,4609772
13,2052581541,143856,1.942056e-14,2500,172,7684172
16,2563398458,143862,1.942137e-14,2683,172,6658252
19,2039322000,143864,1.942164e-14,2777,172,9732652
22,2060066917,146061,1.9718235000000002e-14,3159,172,8706732
25,2030903417,143876,1.942326e-14,3159,172,11781132
28,2032012500,143903,1.9426905e-14,4028,172,10755212
31,2040194125,144141,1.9459035e-14,6752,172,13829616
34,2033686125,144145,1.9459575e-14,6872,172,16904020
37,2030416000,147452,1.9906019999999998e-14,6911,172,13827932
40,2039888625,144157,1.9461195e-14,7236,172,16902336
43,2036350000,144134,1.945809e-14,6505,172,19976740
46,2030479625,144090,1.945215e-14,5071,240,16901236
49,2030294708,144090,1.945215e-14,5071,240,19975816
52,2039425417,147957,1.9974194999999998e-14,5071,240,23050396
55,2046519875,144114,1.945539e-14,5867,240,26124976
58,2038957541,144114,1.945539e-14,5867,240,20998196
61,2041555542,144187,1.9465245e-14,8230,240,24072776
64,2035544208,144193,1.9466055e-14,8417,240,27147356
67,2031398542,144183,1.9464705e-14,8103,240,30221936
70,2029968292,144193,1.9466055e-14,8417,240,25095156
73,3248071833,149701,2.0209635e-14,7323,240,28169736
76,2031092708,144193,1.9466055e-14,8417,240,31244316
79,2029272875,149731,2.0213685000000002e-14,8310,240,34318896
82,2035615959,144093,1.9452555e-14,5161,240,37393916
85,3249602000,150823,2.0361104999999998e-14,7336,240,30216544
88,2031040500,144193,1.9466055e-14,8417,240,33291124
91,11793097458,157469,2.1258315e-14,6803,240,36365704
94,2032311625,144155,1.9460925e-14,7202,240,39440284
97,2044375041,144165,1.9462275e-14,7527,240,42514864
100,2030864000,144153,1.9460655e-14,7121,240,45589444
103,2049897375,144115,1.9455525e-14,5897,240,36361984
106,2033672500,144126,1.945701e-14,6243,260,39437032
109,2034407375,144195,1.9466325e-14,8495,240,42511612
112,2030774708,152144,2.053944e-14,8037,240,45586192
115,3275079958,144195,1.9466325e-14,8495,240,48660772
118,2050618583,144195,1.9466325e-14,8495,240,51735352
121,2031175875,144179,1.9464165e-14,7961,240,54809932
124,2033363458,144168,1.946268e-14,7618,240,43531852
127,2030320167,153622,2.073897e-14,7618,240,46606432
130,2031145958,144134,1.945809e-14,6521,260,49681480
133,2607866166,153597,2.0735595e-14,6804,240,52756060
136,2032513459,144162,1.946187e-14,7406,240,55830640
139,2029103458,144180,1.94643e-14,7990,240,58905220
142,2035533000,144183,1.9464705e-14,8084,240,61979800
145,3311316042,154561,2.0865735e-14,7419,240,65054380
148,2037496375,144180,1.94643e-14,8003,240,51725960
151,2031519334,144179,1.9464165e-14,7954,240,54800540
154,2032762417,144121,1.9456335e-14,6063,260,57875588
157,2031181500,144167,1.9462545e-14,7571,240,60950168
160,2029860833,155234,2.095659e-14,5378,240,64024748
163,2030403833,144149,1.9460115e-14,7000,240,67099328
166,3247677875,155259,2.0959965e-14,6186,240,70173908
169,2075045959,144130,1.945755e-14,6385,240,73248488
172,2033652083,144143,1.9459305e-14,6788,240,76323068
175,2030670959,144167,1.9462545e-14,7584,240,60944308
178,2030261208,144135,1.9458225e-14,6542,260,64019356
181,2032489125,144093,1.9452555e-14,5179,240,67093936
184,2031214709,157126,2.1212009999999997e-14,6390,240,70168516
187,2030684959,144158,1.946133e-14,7280,240,73243096
190,2031433042,144124,1.945674e-14,6186,240,76317676
193,3390616167,144133,1.9457955e-14,6484,240,79392256
196,2468559875,144096,1.945296e-14,5278,240,82466836
199,2039806208,144143,1.9459305e-14,6809,240,85541416
202,2042589541,157162,2.1216870000000002e-14,7553,260,88616464
205,2098918584,144155,1.9460925e-14,7186,240,91691044
208,2053650208,144158,1.946133e-14,7280,240,72211324
211,3247408125,144159,1.9461465e-14,7314,240,75285904
214,2032740709,144159,1.9461465e-14,7324,240,78360484
217,2030849750,144133,1.9457955e-14,6468,240,81435064
220,2030756375,144157,1.9461195e-14,7264,240,84509644
223,2041307167,144111,1.9454985e-14,5754,240,87584224
226,2906345416,144153,1.9460655e-14,7116,260,90659272
229,6460714667,144151,1.9460385e-14,7052,240,93733852
232,2030840542,159522,2.153547e-14,5377,240,96808432
235,2035252958,144157,1.9461195e-14,7272,240,99883012
238,2032944667,144133,1.9457955e-14,6489,240,102957592
241,2037522042,144147,1.9459845e-14,6916,240,106032172
244,2030772792,144144,1.945944e-14,6832,240,109106752
247,2031181916,144133,1.9457955e-14,6468,240,85526632
250,2030678209,144182,1.946457e-14,8075,260,88601680
253,2084118459,162338,2.191563e-14,6031,240,91676260
256,2033594875,144138,1.945863e-14,6633,240,94750840
259,2032465000,144138,1.945863e-14,6633,240,97825420
262,2030738333,144145,1.9459575e-14,6853,240,100900000
265,3247470334,144133,1.9457955e-14,6489,240,103974580
268,3247800042,144145,1.9459575e-14,6853,240,107049160
271,2030306334,162320,2.1913200000000003e-14,5413,240,110123740
274,2029687458,144182,1.946457e-14,8075,260,113198788
277,2032174666,144096,1.945296e-14,5256,240,116273368
280,2030899542,144108,1.945458e-14,5659,240,119347948
283,2489351750,144108,1.945458e-14,5659,240,122422528
286,11477334625,162321,2.1913335e-14,5455,240,125497108
289,2032903750,144108,1.945458e-14,5659,240,128571688
292,2033980458,165487,2.2340745e-14,5455,240,100890608
295,2079504834,144102,1.9453769999999998e-14,5455,240,103965188
298,2031418000,144169,1.9462815e-14,7659,260,107040236
301,2031451709,144410,1.949535e-14,10459,240,110114816
304,2031698334,165799,2.2382865e-14,10587,240,113189396
307,2030804708,144403,1.9494405e-14,10233,240,116263976
310,2039414834,144291,1.9479285e-14,6589,240,119339004
313,2101639958,144269,1.9476315e-14,5872,240,122413584
316,2030566291,144298,1.9480230000000002e-14,6827,240,125488164
319,2031618959,165658,2.236383e-14,5992,240,128562744
322,2030778750,144273,1.9476855e-14,5992,240,131637324
325,2030762583,144317,1.9482794999999998e-14,7432,240,134711904
328,2029926042,144273,1.9476855e-14,5992,240,137786484
331,2030074708,144308,1.948158e-14,7141,240,140861064
334,2030572125,165651,2.2362885e-14,5782,240,143936092
337,4706294750,144292,1.947942e-14,6620,240,147010672
340,2030863375,165652,2.236302e-14,5803,240,150085252
343,2030365916,144267,1.9476045e-14,5803,240,118303252
346,2030809417,144273,1.9476855e-14,6002,240,121377832
349,2030080375,144305,1.9481175e-14,7044,240,124452412
352,2030112625,169232,2.284632e-14,7044,240,127526992
355,2030335250,144280,1.9477799999999998e-14,6227,240,130601572
358,2030428792,144364,1.948914e-14,8968,260,133676620
361,22958739958,199216,2.689416e-14,9361,240,136751200
364,2033660542,144395,1.9493325000000002e-14,9962,240,139825780
367,2044634083,169300,2.28555e-14,9263,240,142900360
370,2037496042,144382,1.949157e-14,9543,240,145974940
373,2030689083,144367,1.9489545e-14,9051,240,149049520
376,2040333250,144370,1.948995e-14,9145,240,152124100
379,2046051292,144391,1.9492784999999998e-14,9855,240,155198680
382,2035041458,169238,2.2847129999999998e-14,7230,296,158273764
385,2045846708,144372,1.949022e-14,9238,240,161348344
388,2036842000,169294,2.285469e-14,9039,240,164422924
391,2303447917,144375,1.9490625000000002e-14,9336,240,167497504
394,2031675417,169295,2.2854824999999998e-14,9086,240,170572084
397,2030350042,144366,1.948941e-14,9026,240,173646664
400,2030930250,169281,2.2852935e-14,8620,240,176721244
403,2033802208,144379,1.9491165e-14,9437,240,138788428
406,2030673750,173504,2.342304e-14,6568,260,141863476
409,2030698416,144326,1.948401e-14,7711,240,144938056
412,2031035958,144335,1.9485225e-14,8030,240,148012636
415,2030864583,144342,1.948617e-14,8229,240,151087216
418,2029662500,144357,1.9488194999999998e-14,8747,240,154161796
421,2033620792,144348,1.948698e-14,8446,240,157236376
424,2046466250,144367,1.9489545e-14,9051,240,160310956
427,13012771125,202783,2.7375705000000003e-14,8666,240,163385536
430,2095871042,144336,1.948536e-14,8041,260,166460584
433,2030428958,144369,1.9489815e-14,9120,240,169535164
436,2039899625,144350,1.948725e-14,8502,240,172609744
439,2050518417,144382,1.949157e-14,9531,240,175684324
442,2034108625,144311,1.9481985e-14,7254,240,178758904
445,2030634167,144363,1.9489005e-14,8939,240,181833484
448,2031357333,173584,2.343384e-14,9159,240,184908064
451,17675342917,202796,2.737746e-14,9083,240,187982644
454,2080772208,144343,1.9486305e-14,8285,260,191057692
457,2228070166,144369,1.9489815e-14,9112,240,194132272
460,2339646334,144343,1.9486305e-14,8282,240,197206852
463,2075187167,173565,2.3431275e-14,8520,240,200281432
466,2031470125,144325,1.9483875e-14,7685,240,203356012
469,2036354916,144359,1.9488465e-14,8800,240,206430592
472,2030854875,178431,2.4088185000000003e-14,9125,240,162346512
475,2030642208,144344,1.948644e-14,8308,240,165421092
478,2031362917,144336,1.948536e-14,8049,260,168496140
481,2030625125,144292,1.947942e-14,6623,240,171570720
484,2049251208,144331,1.9484685e-14,7897,240,174645300
487,2058298917,178380,2.4081300000000003e-14,7473,240,177719880
490,2297587958,144337,1.9485494999999998e-14,8096,240,180794460
493,2834041750,144346,1.948671e-14,8376,240,183869040
496,2058218459,144344,1.948644e-14,8316,240,186943620
499,2031839792,178358,2.407833e-14,6743,240,190018200
502,2036827208,144352,1.948752e-14,8584,260,193093248
505,2032349042,178355,2.4077924999999998e-14,6644,240,196167828
508,2033440792,144332,1.948482e-14,7918,240,199242408
511,2035122708,144334,1.9485089999999998e-14,7981,240,202316988
514,2031967542,144289,1.9479015e-14,6523,240,205391568
517,2031127209,144347,1.9486845e-14,8397,240,208466148
520,2030388167,178358,2.407833e-14,6743,240,211540728
523,2032793375,144344,1.948644e-14,8316,240,214615308
526,3017074083,178423,2.4087105e-14,8874,260,217690356
529,3862668834,144339,1.9485765e-14,8129,240,220764936
532,2040688542,144345,1.9486575e-14,8349,240,223839516
535,2033100792,144345,1.9486575e-14,8349,240,226914096
538,2029930042,144320,1.9483199999999998e-14,7545,240,229988676
541,2043616667,144322,1.948347e-14,7608,240,233063256
544,2103006208,144332,1.948482e-14,7909,240,236137836
547,2116135875,144332,1.948482e-14,7909,240,239212416
550,2030391375,144369,1.9489815e-14,9131,260,242287464
553,2030932083,144306,1.948131e-14,7087,240,190001744
556,2036069958,144326,1.948401e-14,7710,240,193076324
559,2030911833,184154,2.486079e-14,7325,240,196150904
562,2129056708,144320,1.9483199999999998e-14,7545,240,199225484
565,2612221542,184160,2.48616e-14,7545,240,202300064
568,22035882000,243888,3.292488e-14,6490,240,205374644
571,2034739750,144331,1.9484685e-14,7881,240,208449224
574,2030552500,184218,2.4869429999999998e-14,9415,260,211524272
577,2029103500,144307,1.9481445e-14,7109,240,214598852
580,2033154541,144323,1.9483605e-14,7627,240,217673432
583,2033092416,144323,1.9483605e-14,7627,240,220748012
586,2031915792,144295,1.9479825e-14,6716,240,223822592
589,2031426417,184135,2.4858225000000002e-14,6716,240,226897172
592,2031679125,144295,1.9479825e-14,6716,240,229971752
595,2149612750,144288,1.947888e-14,6491,240,233046332
598,2436474209,144356,1.948806e-14,8695,260,236121380
601,2033807958,184233,2.4871455e-14,9917,240,239195960
604,2101460875,144382,1.949157e-14,9557,240,242270540
607,2073300625,184196,2.4866460000000002e-14,8701,240,245345120
610,2047774167,144384,1.949184e-14,9604,240,248419700
613,2031392125,144394,1.949319e-14,9929,240,251494280
616,2032391083,144324,1.948374e-14,7652,240,254568860
619,2031363125,144369,1.9489815e-14,9138,240,257643440
622,2032251500,144329,1.9484415e-14,7809,260,260718488
625,2031776292,144399,1.9493865e-14,10082,240,263793068
628,2046265250,184235,2.4871724999999998e-14,9988,240,266867648
631,2255225125,144372,1.949022e-14,9213,240,269942228
634,2420310291,144384,1.949184e-14,9608,240,273016808
637,2031021708,144375,1.9490625000000002e-14,9328,240,276091388
640,2033619625,144370,1.948995e-14,9163,240,279165968
643,2038257083,144382,1.949157e-14,9548,240,282240548
646,2032710291,184169,2.4862815000000002e-14,7830,260,285315596
649,2031274625,191083,2.5796205000000003e-14,8349,240,222778176
652,2032406958,144376,1.949076e-14,9357,240,225852756
655,2030221083,144307,1.9481445e-14,7101,240,228927336
658,2034957500,144359,1.9488465e-14,8786,240,232001916
661,2030261375,144335,1.9485225e-14,8028,240,235076496
664,2031200917,144339,1.9485765e-14,8129,240,238151076
667,2611679166,144371,1.9490084999999998e-14,9171,240,241225656
670,11215486500,242487,3.2735745000000004e-14,8083,260,244300704
673,2029181000,144370,1.948995e-14,9154,240,247375284
676,2031752416,191038,2.5790130000000002e-14,6877,240,250449864
679,2076362042,144306,1.948131e-14,7076,240,253524444
682,2036702833,144326,1.948401e-14,7727,240,256599024
685,2099769834,144373,1.9490355e-14,9261,240,259673604
688,2028658542,144370,1.948995e-14,9167,240,262748184
691,2030490458,144347,1.9486845e-14,8413,240,265822764
694,2030276333,144344,1.948644e-14,8327,260,268897812
697,2031893583,191080,2.57958e-14,8230,240,271972392
700,2031078917,144319,1.9483065e-14,7507,240,275046972
703,2208450667,144360,1.94886e-14,8842,240,278121552
706,2888275458,144350,1.948725e-14,8515,240,281196132
709,2329418208,191073,2.5794855e-14,8025,240,284270712
712,2048430083,144345,1.9486575e-14,8350,240,287345292
715,2033978208,191035,2.5789725e-14,6777,240,290419872
718,2036833834,144299,1.9480365e-14,6833,260,293494920
721,2031210000,144316,1.948266e-14,7413,240,296569500
724,2030997292,144345,1.9486575e-14,8337,240,299644080
727,2031028250,144345,1.9486575e-14,8337,240,302718660
730,2028692292,191058,2.5792829999999998e-14,7533,240,305793240
733,2052674125,144320,1.9483199999999998e-14,7533,240,308867820
736,2414550833,191083,2.5796205000000003e-14,8350,240,311942400
739,2085223875,144345,1.9486575e-14,8350,240,315016980
742,2038457292,144354,1.9487789999999998e-14,8639,260,318092028
745,2030642167,144339,1.9485765e-14,8138,240,321166608
748,2030766917,191083,2.5796205000000003e-14,8358,240,324241188
751,2037471833,144343,1.9486305e-14,8295,240,327315768
754,2029880083,144332,1.948482e-14,7918,240,330390348
757,2033968458,144320,1.9483199999999998e-14,7533,240,333464928
760,2029677459,144332,1.948482e-14,7918,240,260675808
763,2058187542,198888,2.684988e-14,7554,240,263750388
766,2736330584,144363,1.9489005e-14,8929,260,266825436
769,2196836458,144337,1.9485494999999998e-14,8079,240,269900016
772,2102693000,144286,1.947861e-14,6425,240,272974596
775,2045892875,198882,2.684907e-14,7380,240,276049176
778,2030903333,144334,1.9485089999999998e-14,7985,240,279123756
781,2031094542,198899,2.6851365e-14,7915,240,282198336
784,2030676958,144320,1.9483199999999998e-14,7545,240,285272916
787,2032539875,144288,1.947888e-14,6503,240,288347496
790,2029170666,144377,1.9490895e-14,9396,316,291423780
793,2046791709,144329,1.9484415e-14,7831,296,294498524
796,2034525042,198884,2.684934e-14,7438,296,297573268
799,2040241833,144345,1.9486575e-14,8349,296,300648012
802,2835493792,198909,2.6852715e-14,8255,296,303722756
805,2062624334,144342,1.948617e-14,8255,296,306797500
808,2046529500,144342,1.948617e-14,8255,296,309872244
811,2031367625,144312,1.948212e-14,7276,296,312946988
814,2031406334,144420,1.94967e-14,10775,296,316021732
817,2032701333,144402,1.949427e-14,10191,296,319096476
820,2033521334,198976,2.6861759999999997e-14,10411,296,322171220
823,2031274625,144430,1.949805e-14,11110,296,325245964
826,2045864917,144427,1.9497645e-14,11016,296,328320708
829,2011556417,144430,1.949805e-14,11110,296,331395452
832,2752496500,144415,1.9496025e-14,10618,296,334470196
835,11402924333,264403,3.5694405e-14,8664,316,337545400
838,2031264750,144411,1.9495485e-14,10484,296,340620144
841,2057085417,198987,2.6863244999999998e-14,10772,296,343694888
844,2034119542,144404,1.949454e-14,10277,296,346769632
847,2047777834,144419,1.9496565e-14,10756,296,349844376
850,2031042792,144417,1.9496295e-14,10696,296,352919120
853,2031201709,144359,1.9488465e-14,8804,296,355993864
